"0";"14704234 ticks";"14704234 ticks"
"1";"13172606 ticks";"13172606 ticks"
"2";"21893436 ticks";"21893436 ticks"
"3";"42928328 ticks";"42928328 ticks"
"4";"43811090 ticks";"43811090 ticks"
"5";"46493092 ticks";"46493092 ticks"
"6";"54472130 ticks";"54472130 ticks"
"7";"53638040 ticks";"53638040 ticks"
"8";"64294788 ticks";"64294788 ticks"
"9";"50947672 ticks";"50947672 ticks"
"10";"67894958 ticks";"67894958 ticks"
"11";"55013610 ticks";"55013610 ticks"
"12";"70296772 ticks";"70296772 ticks"
"13";"80935284 ticks";"80935284 ticks"
"14";"75236132 ticks";"75236132 ticks"
"15";"74636342 ticks";"74636342 ticks"
"16";"88839580 ticks";"88839580 ticks"
"17";"113247308 ticks";"113247308 ticks"
"18";"120879508 ticks";"120879508 ticks"
"19";"141995010 ticks";"141995010 ticks"
"20";"168185902 ticks";"168185902 ticks"
"21";"159505844 ticks";"159505844 ticks"
"22";"178862496 ticks";"178862496 ticks"
"23";"158710146 ticks";"158710146 ticks"
"24";"152445824 ticks";"152445824 ticks"
"25";"164115508 ticks";"164115508 ticks"
"26";"192830408 ticks";"192830408 ticks"
"27";"182384518 ticks";"182384518 ticks"
"28";"185398550 ticks";"185398550 ticks"
"29";"191467082 ticks";"191467082 ticks"
"30";"192199576 ticks";"192199576 ticks"
"31";"205123150 ticks";"205123150 ticks"
"32";"201071696 ticks";"201071696 ticks"
"33";"225222924 ticks";"225222924 ticks"
"34";"205969300 ticks";"205969300 ticks"
"35";"198940078 ticks";"198940078 ticks"
"36";"225083104 ticks";"225083104 ticks"
"37";"216462268 ticks";"216462268 ticks"
"38";"225289632 ticks";"225289632 ticks"
"39";"214784146 ticks";"214784146 ticks"
"40";"231573724 ticks";"231573724 ticks"
"41";"222863156 ticks";"222863156 ticks"
"42";"228453540 ticks";"228453540 ticks"
"43";"233318536 ticks";"233318536 ticks"
"44";"218648644 ticks";"218648644 ticks"
"45";"235000556 ticks";"235000556 ticks"
"46";"224739668 ticks";"224739668 ticks"
"47";"215901160 ticks";"215901160 ticks"
"48";"209268128 ticks";"209268128 ticks"
"49";"212804238 ticks";"212804238 ticks"
"50";"223098308 ticks";"223098308 ticks"
"51";"216352194 ticks";"216352194 ticks"
"52";"211496354 ticks";"211496354 ticks"
"53";"222446466 ticks";"222446466 ticks"
"54";"219364176 ticks";"219364176 ticks"
"55";"213757320 ticks";"213757320 ticks"
"56";"229900498 ticks";"229900498 ticks"
"57";"229281068 ticks";"229281068 ticks"
"58";"217923076 ticks";"217923076 ticks"
"59";"214898922 ticks";"214898922 ticks"
"60";"217825950 ticks";"217825950 ticks"
"61";"216372148 ticks";"216372148 ticks"
"62";"220816910 ticks";"220816910 ticks"
"63";"218212940 ticks";"218212940 ticks"
"64";"218885378 ticks";"218885378 ticks"
"65";"224024000 ticks";"224024000 ticks"
"66";"228165302 ticks";"228165302 ticks"
"67";"215024562 ticks";"215024562 ticks"
"68";"222941336 ticks";"222941336 ticks"
"69";"219494778 ticks";"219494778 ticks"
"70";"219000406 ticks";"219000406 ticks"
"71";"221471390 ticks";"221471390 ticks"
"72";"218874228 ticks";"218874228 ticks"
"73";"219184900 ticks";"219184900 ticks"
"74";"224805574 ticks";"224805574 ticks"
"75";"217751228 ticks";"217751228 ticks"
"76";"224013314 ticks";"224013314 ticks"
"77";"220222394 ticks";"220222394 ticks"
"78";"222728922 ticks";"222728922 ticks"
"79";"248126896 ticks";"248126896 ticks"
"80";"232087034 ticks";"232087034 ticks"
"81";"225766808 ticks";"225766808 ticks"
"82";"244974598 ticks";"244974598 ticks"
"83";"225346912 ticks";"225346912 ticks"
"84";"224284110 ticks";"224284110 ticks"
"85";"250320556 ticks";"250320556 ticks"
"86";"283468506 ticks";"283468506 ticks"
"87";"231807890 ticks";"231807890 ticks"
"88";"227337430 ticks";"227337430 ticks"
"89";"221222682 ticks";"221222682 ticks"
"90";"253929952 ticks";"253929952 ticks"
"91";"226260786 ticks";"226260786 ticks"
"92";"224399630 ticks";"224399630 ticks"
"93";"216292908 ticks";"216292908 ticks"
"94";"224062052 ticks";"224062052 ticks"
"95";"224183842 ticks";"224183842 ticks"
"96";"220466702 ticks";"220466702 ticks"
"97";"218200070 ticks";"218200070 ticks"
"98";"217555562 ticks";"217555562 ticks"
"99";"215674898 ticks";"215674898 ticks"
"100";"216383554 ticks";"216383554 ticks"
"101";"222334000 ticks";"222334000 ticks"
"102";"214018278 ticks";"214018278 ticks"
"103";"215013198 ticks";"215013198 ticks"
"104";"213332864 ticks";"213332864 ticks"
"105";"223424450 ticks";"223424450 ticks"
"106";"218040058 ticks";"218040058 ticks"
"107";"216562572 ticks";"216562572 ticks"
"108";"229003400 ticks";"229003400 ticks"
"109";"233325258 ticks";"233325258 ticks"
"110";"208776444 ticks";"208776444 ticks"
"111";"226187042 ticks";"226187042 ticks"
"112";"226525776 ticks";"226525776 ticks"
"113";"217560264 ticks";"217560264 ticks"
"114";"234900534 ticks";"234900534 ticks"
"115";"204434008 ticks";"204434008 ticks"
"116";"216492160 ticks";"216492160 ticks"
"117";"208668816 ticks";"208668816 ticks"
"118";"225781272 ticks";"225781272 ticks"
"119";"201537156 ticks";"201537156 ticks"
"120";"203846402 ticks";"203846402 ticks"
"121";"209452728 ticks";"209452728 ticks"
"122";"216620038 ticks";"216620038 ticks"
"123";"203625632 ticks";"203625632 ticks"
"124";"211689186 ticks";"211689186 ticks"
"125";"219796116 ticks";"219796116 ticks"
"126";"224125958 ticks";"224125958 ticks"
"127";"207483782 ticks";"207483782 ticks"
"128";"207533432 ticks";"207533432 ticks"
"129";"198603982 ticks";"198603982 ticks"
"130";"200849646 ticks";"200849646 ticks"
"131";"196796546 ticks";"196796546 ticks"
"132";"193132138 ticks";"193132138 ticks"
"133";"214715184 ticks";"214715184 ticks"
"134";"215501354 ticks";"215501354 ticks"
"135";"211539948 ticks";"211539948 ticks"
"136";"194423626 ticks";"194423626 ticks"
"137";"199807340 ticks";"199807340 ticks"
"138";"198116426 ticks";"198116426 ticks"
"139";"197917770 ticks";"197917770 ticks"
"140";"16475242 ticks";"17059796 ticks"
"141";"184011366 ticks";"184011366 ticks"
"142";"168797382 ticks";"168797382 ticks"
"143";"116343004 ticks";"116343004 ticks"
"144";"83359366 ticks";"83359366 ticks"
"145";"133512428 ticks";"133512428 ticks"
"146";"125251326 ticks";"125251326 ticks"
"147";"164927732 ticks";"164927732 ticks"
"148";"196145528 ticks";"196145528 ticks"
"149";"209974636 ticks";"209974636 ticks"
"150";"212961312 ticks";"212961312 ticks"
"151";"236123886 ticks";"236123886 ticks"
"152";"256026964 ticks";"256026964 ticks"
"153";"261110238 ticks";"261110238 ticks"
"154";"256491568 ticks";"256491568 ticks"
"155";"259719810 ticks";"259719810 ticks"
"156";"268585798 ticks";"268585798 ticks"
"157";"285747316 ticks";"285747316 ticks"
"158";"271013680 ticks";"271013680 ticks"
"159";"270044766 ticks";"270044766 ticks"
"160";"268818292 ticks";"268818292 ticks"
"161";"262814418 ticks";"262814418 ticks"
"162";"272466524 ticks";"272466524 ticks"
"163";"275369656 ticks";"275369656 ticks"
"164";"249501476 ticks";"249501476 ticks"
"165";"248025190 ticks";"248025190 ticks"
"166";"283002414 ticks";"283002414 ticks"
"167";"282783878 ticks";"282783878 ticks"
"168";"271625728 ticks";"271625728 ticks"
"169";"259027814 ticks";"259027814 ticks"
"170";"257629354 ticks";"257629354 ticks"
"171";"248396458 ticks";"248396458 ticks"
"172";"239717510 ticks";"239717510 ticks"
"173";"252942070 ticks";"252942070 ticks"
"174";"242948906 ticks";"242948906 ticks"
"175";"255130330 ticks";"255130330 ticks"
"176";"241187512 ticks";"241187512 ticks"
"177";"248522704 ticks";"248522704 ticks"
"178";"248459490 ticks";"248459490 ticks"
"179";"243405732 ticks";"243405732 ticks"
"180";"246566708 ticks";"246566708 ticks"
"181";"231022770 ticks";"231022770 ticks"
"182";"240406466 ticks";"240406466 ticks"
"183";"232392592 ticks";"232392592 ticks"
"184";"249278062 ticks";"249278062 ticks"
"185";"234508268 ticks";"234508268 ticks"
"186";"239542864 ticks";"239542864 ticks"
"187";"231701222 ticks";"231701222 ticks"
"188";"234384972 ticks";"234384972 ticks"
"189";"232493614 ticks";"232493614 ticks"
"190";"239046194 ticks";"239046194 ticks"
"191";"228849234 ticks";"228849234 ticks"
"192";"231423698 ticks";"231423698 ticks"
"193";"231474774 ticks";"231474774 ticks"
"194";"236177740 ticks";"236177740 ticks"
"195";"230240892 ticks";"230240892 ticks"
"196";"238812886 ticks";"238812886 ticks"
"197";"232099570 ticks";"232099570 ticks"
"198";"240431234 ticks";"240431234 ticks"
"199";"228499006 ticks";"228499006 ticks"
"200";"246004552 ticks";"246004552 ticks"
"201";"242842210 ticks";"242842210 ticks"
"202";"253076958 ticks";"253076958 ticks"
"203";"236749408 ticks";"236749408 ticks"
"204";"247361902 ticks";"247361902 ticks"
"205";"242495158 ticks";"242495158 ticks"
"206";"250828354 ticks";"250828354 ticks"
"207";"241057576 ticks";"241057576 ticks"
"208";"238530316 ticks";"238530316 ticks"
"209";"247835780 ticks";"247835780 ticks"
"210";"241616890 ticks";"241616890 ticks"
"211";"253942606 ticks";"253942606 ticks"
"212";"237919924 ticks";"237919924 ticks"
"213";"247215280 ticks";"247215280 ticks"
"214";"238913354 ticks";"238913354 ticks"
"215";"237333926 ticks";"237333926 ticks"
"216";"254924624 ticks";"254924624 ticks"
"217";"240413182 ticks";"240413182 ticks"
"218";"251070480 ticks";"251070480 ticks"
"219";"234114826 ticks";"234114826 ticks"
"220";"260732104 ticks";"260732104 ticks"
"221";"250692516 ticks";"250692516 ticks"
"222";"248235104 ticks";"248235104 ticks"
"223";"234444292 ticks";"234444292 ticks"
"224";"233297962 ticks";"233297962 ticks"
"225";"236356040 ticks";"236356040 ticks"
"226";"250948462 ticks";"250948462 ticks"
"227";"236670112 ticks";"236670112 ticks"
"228";"232527754 ticks";"232527754 ticks"
"229";"237058376 ticks";"237058376 ticks"
"230";"231912192 ticks";"231912192 ticks"
"231";"239238690 ticks";"239238690 ticks"
"232";"231995296 ticks";"231995296 ticks"
"233";"231818076 ticks";"231818076 ticks"
"234";"231089500 ticks";"231089500 ticks"
"235";"231069284 ticks";"231069284 ticks"
"236";"233727732 ticks";"233727732 ticks"
"237";"233690698 ticks";"233690698 ticks"
"238";"229565734 ticks";"229565734 ticks"
"239";"230365290 ticks";"230365290 ticks"
"240";"232424646 ticks";"232424646 ticks"
"241";"229156906 ticks";"229156906 ticks"
"242";"233928664 ticks";"233928664 ticks"
"243";"232697054 ticks";"232697054 ticks"
"244";"236911056 ticks";"236911056 ticks"
"245";"242185840 ticks";"242185840 ticks"
"246";"233480252 ticks";"233480252 ticks"
"247";"235619534 ticks";"235619534 ticks"
"248";"233713660 ticks";"233713660 ticks"
"249";"233026092 ticks";"233026092 ticks"
"250";"253892710 ticks";"253892710 ticks"
"251";"242977322 ticks";"242977322 ticks"
"252";"240095550 ticks";"240095550 ticks"
"253";"251475728 ticks";"251475728 ticks"
"254";"255388700 ticks";"255388700 ticks"
"255";"255805446 ticks";"255805446 ticks"
"256";"266692616 ticks";"266692616 ticks"
"257";"268885530 ticks";"268885530 ticks"
"258";"235697588 ticks";"235697588 ticks"
"259";"248774314 ticks";"248774314 ticks"
"260";"291741030 ticks";"291741030 ticks"
"261";"241496772 ticks";"241496772 ticks"
"262";"230571584 ticks";"230571584 ticks"
"263";"236508496 ticks";"236508496 ticks"
"264";"235564214 ticks";"235564214 ticks"
"265";"231934544 ticks";"231934544 ticks"
"266";"230074536 ticks";"230074536 ticks"
"267";"232348578 ticks";"232348578 ticks"
"268";"236055754 ticks";"236055754 ticks"
"269";"225524736 ticks";"225524736 ticks"
"270";"230607206 ticks";"230607206 ticks"
"271";"233969150 ticks";"233969150 ticks"
"272";"232850120 ticks";"232850120 ticks"
"273";"235247144 ticks";"235247144 ticks"
"274";"237553146 ticks";"237553146 ticks"
"275";"232623860 ticks";"232623860 ticks"
"276";"233996260 ticks";"233996260 ticks"
"277";"231974464 ticks";"231974464 ticks"
"278";"232195500 ticks";"232195500 ticks"
"279";"234970602 ticks";"234970602 ticks"
"280";"236825546 ticks";"236825546 ticks"
"281";"231892930 ticks";"231892930 ticks"
"282";"230772982 ticks";"230772982 ticks"
"283";"232179118 ticks";"232179118 ticks"
"284";"233442516 ticks";"233442516 ticks"
"285";"238104094 ticks";"238104094 ticks"
"286";"232869570 ticks";"232869570 ticks"
"287";"238806732 ticks";"238806732 ticks"
"288";"242208384 ticks";"242208384 ticks"
"289";"247779420 ticks";"247779420 ticks"
"290";"242228998 ticks";"242228998 ticks"
"291";"241192278 ticks";"241192278 ticks"
"292";"233702114 ticks";"233702114 ticks"
"293";"233046748 ticks";"233046748 ticks"
"294";"229213196 ticks";"229213196 ticks"
"295";"247880818 ticks";"247880818 ticks"
"296";"232507694 ticks";"232507694 ticks"
"297";"232126714 ticks";"232126714 ticks"
"298";"231541136 ticks";"231541136 ticks"
"299";"261547766 ticks";"261547766 ticks"
"300";"246483260 ticks";"246483260 ticks"
"301";"254853172 ticks";"254853172 ticks"
"302";"241914416 ticks";"241914416 ticks"
"303";"232234518 ticks";"232234518 ticks"
"304";"241310408 ticks";"241310408 ticks"
"305";"251485136 ticks";"251485136 ticks"
"306";"247489274 ticks";"247489274 ticks"
"307";"230921646 ticks";"230921646 ticks"
"308";"270244274 ticks";"270244274 ticks"
"309";"237225966 ticks";"237225966 ticks"
"310";"244684266 ticks";"244684266 ticks"
"311";"230551870 ticks";"230551870 ticks"
"312";"233283768 ticks";"233283768 ticks"
"313";"263797418 ticks";"263797418 ticks"
"314";"252490110 ticks";"252490110 ticks"
"315";"247287828 ticks";"247287828 ticks"
"316";"247560670 ticks";"247560670 ticks"
"317";"237640734 ticks";"237640734 ticks"
"318";"234853846 ticks";"234853846 ticks"
"319";"253283744 ticks";"253283744 ticks"
"320";"251926688 ticks";"251926688 ticks"
"321";"232558834 ticks";"232558834 ticks"
"322";"261029884 ticks";"261029884 ticks"
"323";"241961888 ticks";"241961888 ticks"
"324";"249900112 ticks";"249900112 ticks"
"325";"248690080 ticks";"248690080 ticks"
"326";"254983970 ticks";"254983970 ticks"
"327";"234764714 ticks";"234764714 ticks"
"328";"293827356 ticks";"293827356 ticks"
"329";"275617306 ticks";"275617306 ticks"